timestamp_utc,generation,individual_index,finished,crashes,timeout,progress,block_progress,ranking_progress,distance,time,reward,fitness,ranking_key,selection_mode,selection_rank,selection_crowding,selection_objectives,selection_objective_names,evaluation_steps,evaluation_terminated,evaluation_truncated,evaluation_valid
2026-05-07T07:09:25Z,1,0,0,1,0,45.95528627053285,43.58974358974359,45.95528627053285,666.8963623046875,13.720000267028809,45955272550531.586,45955272550531.586,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]",lexicographic,0,0.0,"[0.0, 45.95528627053285, -13.720000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1426,1,0,1
2026-05-07T07:09:25Z,1,1,0,1,0,39.19567205967047,38.46153846153847,39.19567205967047,565.9776000976562,11.079999923706055,39195660979669.55,39195660979669.55,"[0.0, 39.19567205967047, -11.079999923706055, -1.0]",lexicographic,1,0.0,"[0.0, 39.19567205967047, -11.079999923706055, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1158,1,0,1
2026-05-07T07:09:25Z,1,2,0,1,0,38.784535725911454,38.46153846153847,38.784535725911454,558.5325317382812,10.789999961853027,38784524935910.49,38784524935910.49,"[0.0, 38.784535725911454, -10.789999961853027, -1.0]",lexicographic,2,0.0,"[0.0, 38.784535725911454, -10.789999961853027, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1127,1,0,1
2026-05-07T07:09:25Z,1,3,0,1,0,38.69569240472256,38.46153846153847,38.69569240472256,566.5953979492188,10.979999542236328,38695681424722.016,38695681424722.016,"[0.0, 38.69569240472256, -10.979999542236328, -1.0]",lexicographic,3,0.0,"[0.0, 38.69569240472256, -10.979999542236328, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1124,1,0,1
2026-05-07T07:09:25Z,1,4,0,1,0,38.6103018736228,38.46153846153847,38.6103018736228,575.64404296875,11.069999694824219,38610290803622.11,38610290803622.11,"[0.0, 38.6103018736228, -11.069999694824219, -1.0]",lexicographic,4,0.0,"[0.0, 38.6103018736228, -11.069999694824219, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1147,1,0,1
2026-05-07T07:09:25Z,1,5,0,1,0,38.58901292849809,38.46153846153847,38.58901292849809,562.7552490234375,10.90999984741211,38589002018497.25,38589002018497.25,"[0.0, 38.58901292849809, -10.90999984741211, -1.0]",lexicographic,5,0.0,"[0.0, 38.58901292849809, -10.90999984741211, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1136,1,0,1
2026-05-07T07:09:25Z,1,6,0,1,0,38.588494520920975,38.46153846153847,38.588494520920975,556.5916137695312,10.779999732971191,38588483740920.24,38588483740920.24,"[0.0, 38.588494520920975, -10.779999732971191, -1.0]",lexicographic,6,0.0,"[0.0, 38.588494520920975, -10.779999732971191, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1061,1,0,1
2026-05-07T07:09:25Z,1,7,0,1,0,38.56386527037009,38.46153846153847,38.56386527037009,564.2808227539062,10.960000038146973,38563854310369.05,38563854310369.05,"[0.0, 38.56386527037009, -10.960000038146973, -1.0]",lexicographic,7,0.0,"[0.0, 38.56386527037009, -10.960000038146973, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1145,1,0,1
2026-05-07T07:09:25Z,1,8,0,1,0,38.51442092504257,38.46153846153847,38.51442092504257,561.6146850585938,10.890000343322754,38514410035041.23,38514410035041.23,"[0.0, 38.51442092504257, -10.890000343322754, -1.0]",lexicographic,8,0.0,"[0.0, 38.51442092504257, -10.890000343322754, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1132,1,0,1
2026-05-07T07:09:25Z,1,9,0,1,0,38.467260507436905,38.46153846153847,38.467260507436905,556.6450805664062,10.899999618530273,38467249607436.29,38467249607436.29,"[0.0, 38.467260507436905, -10.899999618530273, -1.0]",lexicographic,9,0.0,"[0.0, 38.467260507436905, -10.899999618530273, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1140,1,0,1
2026-05-07T07:09:25Z,1,10,0,1,0,38.367677346254005,35.8974358974359,38.367677346254005,557.1517333984375,10.890000343322754,38367666456252.664,38367666456252.664,"[0.0, 38.367677346254005, -10.890000343322754, -1.0]",lexicographic,10,0.0,"[0.0, 38.367677346254005, -10.890000343322754, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1032,1,0,1
2026-05-07T07:09:25Z,1,11,0,1,0,38.360742422250595,35.8974358974359,38.360742422250595,572.3920288085938,11.050000190734863,38360731372249.41,38360731372249.41,"[0.0, 38.360742422250595, -11.050000190734863, -1.0]",lexicographic,11,0.0,"[0.0, 38.360742422250595, -11.050000190734863, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1158,1,0,1
2026-05-07T07:09:25Z,1,12,0,1,0,38.20969508244441,35.8974358974359,38.20969508244441,565.1597900390625,10.970000267028809,38209684112443.15,38209684112443.15,"[0.0, 38.20969508244441, -10.970000267028809, -1.0]",lexicographic,12,0.0,"[0.0, 38.20969508244441, -10.970000267028809, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1147,1,0,1
2026-05-07T07:09:25Z,1,13,0,1,0,38.18269387269632,35.8974358974359,38.18269387269632,575.743896484375,11.119999885559082,38182682752695.44,38182682752695.44,"[0.0, 38.18269387269632, -11.119999885559082, -1.0]",lexicographic,13,0.0,"[0.0, 38.18269387269632, -11.119999885559082, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1040,1,0,1
2026-05-07T07:09:25Z,1,14,0,1,0,38.056383377466446,35.8974358974359,38.056383377466446,556.8155517578125,10.859999656677246,38056372517465.79,38056372517465.79,"[0.0, 38.056383377466446, -10.859999656677246, -1.0]",lexicographic,14,0.0,"[0.0, 38.056383377466446, -10.859999656677246, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1106,1,0,1
2026-05-07T07:09:25Z,1,15,0,1,0,38.03284962972005,35.8974358974359,38.03284962972005,564.7826538085938,10.949999809265137,38032838679719.234,38032838679719.234,"[0.0, 38.03284962972005, -10.949999809265137, -1.0]",lexicographic,15,0.0,"[0.0, 38.03284962972005, -10.949999809265137, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1145,1,0,1
2026-05-07T07:09:25Z,1,16,0,1,0,38.01092490171774,35.8974358974359,38.01092490171774,564.2567749023438,10.979999542236328,38010913921717.2,38010913921717.2,"[0.0, 38.01092490171774, -10.979999542236328, -1.0]",lexicographic,16,0.0,"[0.0, 38.01092490171774, -10.979999542236328, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1114,1,0,1
2026-05-07T07:09:25Z,1,17,0,1,0,38.007374298878204,35.8974358974359,38.007374298878204,559.3289184570312,10.890000343322754,38007363408876.86,38007363408876.86,"[0.0, 38.007374298878204, -10.890000343322754, -1.0]",lexicographic,17,0.0,"[0.0, 38.007374298878204, -10.890000343322754, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1115,1,0,1
2026-05-07T07:09:25Z,1,18,0,1,0,37.89151509602864,35.8974358974359,37.89151509602864,566.0481567382812,11.0,37891504096027.64,37891504096027.64,"[0.0, 37.89151509602864, -11.0, -1.0]",lexicographic,18,0.0,"[0.0, 37.89151509602864, -11.0, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1094,1,0,1
2026-05-07T07:09:25Z,1,19,0,1,0,37.82442043989133,35.8974358974359,37.82442043989133,562.076904296875,10.880000114440918,37824409559890.21,37824409559890.21,"[0.0, 37.82442043989133, -10.880000114440918, -1.0]",lexicographic,19,0.0,"[0.0, 37.82442043989133, -10.880000114440918, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1103,1,0,1
2026-05-07T07:09:25Z,1,20,0,1,0,37.79446528508113,35.8974358974359,37.79446528508113,562.2445678710938,10.949999809265137,37794454335080.32,37794454335080.32,"[0.0, 37.79446528508113, -10.949999809265137, -1.0]",lexicographic,20,0.0,"[0.0, 37.79446528508113, -10.949999809265137, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",1135,1,0,1
2026-05-07T07:09:25Z,1,21,0,1,0,25.64102564102564,23.076923076923077,25.64102564102564,270.6703796386719,6.909999847412109,25641018731024.793,25641018731024.793,"[0.0, 25.64102564102564, -6.909999847412109, -1.0]",lexicographic,21,0.0,"[0.0, 25.64102564102564, -6.909999847412109, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",718,1,0,1
2026-05-07T07:09:25Z,1,22,0,1,0,25.64102564102564,23.076923076923077,25.64102564102564,291.04779052734375,7.210000038146973,25641018431024.6,25641018431024.6,"[0.0, 25.64102564102564, -7.210000038146973, -1.0]",lexicographic,22,0.0,"[0.0, 25.64102564102564, -7.210000038146973, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",754,1,0,1
2026-05-07T07:09:25Z,1,23,0,1,0,25.24109276866944,23.076923076923077,25.24109276866944,258.4241638183594,6.71999979019165,25241086048668.65,25241086048668.65,"[0.0, 25.24109276866944, -6.71999979019165, -1.0]",lexicographic,23,0.0,"[0.0, 25.24109276866944, -6.71999979019165, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",694,1,0,1
2026-05-07T07:09:25Z,1,24,0,1,0,23.88478792630709,23.076923076923077,23.88478792630709,250.47274780273438,6.659999847412109,23884781266306.242,23884781266306.242,"[0.0, 23.88478792630709, -6.659999847412109, -1.0]",lexicographic,24,0.0,"[0.0, 23.88478792630709, -6.659999847412109, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",697,1,0,1
2026-05-07T07:09:25Z,1,25,0,1,0,20.006605295034554,17.94871794871795,20.006605295034554,222.4326171875,6.150000095367432,20006599145033.46,20006599145033.46,"[0.0, 20.006605295034554, -6.150000095367432, -1.0]",lexicographic,25,0.0,"[0.0, 20.006605295034554, -6.150000095367432, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",643,1,0,1
2026-05-07T07:09:25Z,1,26,0,1,0,19.589795821752304,17.94871794871795,19.589795821752304,222.3900146484375,6.260000228881836,19589789561751.074,19589789561751.074,"[0.0, 19.589795821752304, -6.260000228881836, -1.0]",lexicographic,26,0.0,"[0.0, 19.589795821752304, -6.260000228881836, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",268,1,0,1
2026-05-07T07:09:25Z,1,27,0,1,0,19.443658682016228,17.94871794871795,19.443658682016228,214.20240783691406,6.010000228881836,19443652672014.996,19443652672014.996,"[0.0, 19.443658682016228, -6.010000228881836, -1.0]",lexicographic,27,0.0,"[0.0, 19.443658682016228, -6.010000228881836, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",625,1,0,1
2026-05-07T07:09:25Z,1,28,0,1,0,13.967024974333933,12.82051282051282,13.967024974333933,131.46231079101562,4.559999942779541,13967020414332.99,13967020414332.99,"[0.0, 13.967024974333933, -4.559999942779541, -1.0]",lexicographic,28,0.0,"[0.0, 13.967024974333933, -4.559999942779541, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",473,1,0,1
2026-05-07T07:09:25Z,1,29,0,1,0,13.940018873948318,12.82051282051282,13.940018873948318,138.73863220214844,4.710000038146973,13940014163947.28,13940014163947.28,"[0.0, 13.940018873948318, -4.710000038146973, -1.0]",lexicographic,29,0.0,"[0.0, 13.940018873948318, -4.710000038146973, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",492,1,0,1
2026-05-07T07:09:25Z,1,30,0,1,0,13.79110385210086,12.82051282051282,13.79110385210086,137.62998962402344,4.690000057220459,13791099162099.805,13791099162099.805,"[0.0, 13.79110385210086, -4.690000057220459, -1.0]",lexicographic,30,0.0,"[0.0, 13.79110385210086, -4.690000057220459, -1.0]","[""ranking_0"", ""ranking_1"", ""ranking_2"", ""ranking_3""]",485,1,0,1
