generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8053694133751.169,5.714285714285714,8.053695133754186,8.053695133754186,3.016666666666661,0,1,75.35199429094791,181,8053694.133751169,"[0.0, 8.053695133754186, -1.0, -3.016666666666661]",0,64,64,0,64,0,64,0,243.54999999999947,243.54999999999947,14613,14613,55.168783000000985,55.34304500000144,1.875,3.399153096335275,3.399153096335275,3399152.0963314697,3.8054687499999917,0.0,0.0,0.0,0.0,1.875,2.6830320002351287,5.714285714285714,5.714285714285714,5.714285714285714,0.4926082066127232,0.4936098371233259,1.0817841121128626,2.111241476876395,3.399153096335275,2.86050757644345,7.142857142857142,7.572469438825335,8.053695133754186,0.4926082066127232,0.4936098371233259,1.0817841121128626,2.111241476876395,3.399153096335275,2.86050757644345,7.142857142857142,7.572469438825335,8.053695133754186,1.9333333333333313,1.9333333333333313,2.762499999999995,3.9833333333333245,3.8054687499999917,1.371273532056194,5.016666666666654,5.016666666666654,7.516666666666645,4.836885113618337,5.174132161418674,7.7056497001613025,13.038536105537787,29.729499878278943,28.592640705897168,66.23968940600753,72.56742996424437,75.35199429094791,492607.2066107899,493608.83712139254,1081783.112107846,2111240.4768713787,3399152.0963314697,2860507.5764436508,7142856.1428542975,7572468.438822335,8053694.133751169,492607206610.78986,493608837121.3926,1081783112107.8461,2111240476871.3784,3399152096331.4697,2860507576443.6504,7142856142854.297,7572468438822.335,8053694133751.169,116.0,116.0,165.75,239.0,228.328125,82.27641192337191,301.0,301.0,451.0
2,8320085342944.79,5.714285714285714,8.320086342947823,8.320086342947823,3.0333333333333274,0,1,76.01276008784771,182,8320085.34294479,"[0.0, 8.320086342947823, -1.0, -3.0333333333333274]",0,64,64,0,64,0,64,0,244.8833333333328,488.43333333333226,14693,29306,24.284812600002624,80.50521250000747,3.4821428571428577,5.321890030588422,5.321890030588422,5321889.030584596,3.826302083333325,0.0,0.0,0.0,5.714285714285714,3.4821428571428577,2.741812952282873,5.714285714285714,5.714285714285714,5.714285714285714,1.8745640345982144,1.9463746207101005,2.111804144723075,7.142857142857142,5.321890030588422,2.5859265119181725,7.380279132298061,7.81779180254255,8.320086342947823,1.8745640345982144,1.9463746207101005,2.111804144723075,7.142857142857142,5.321890030588422,2.5859265119181725,7.380279132298061,7.81779180254255,8.320086342947823,2.199999999999997,2.833333333333328,2.929166666666661,3.133333333333327,3.826302083333325,1.0554661156312184,5.016666666666654,5.016666666666654,6.21666666666665,5.173473532544449,5.938301769163811,7.705750028086186,64.84325293451548,45.37271689289673,30.283858907750687,71.39819848164916,74.02201616317033,76.01276008784771,1874563.0345931977,1946373.620705084,2111803.1447180584,7142856.142854201,5321889.030584596,2585926.5119190956,7380278.132294353,7817790.802538319,8320085.34294479,1874563034593.1978,1946373620705.084,2111803144718.0583,7142856142854.201,5321889030584.597,2585926511919.095,7380278132294.353,7817790802538.318,8320085342944.79,132.0,170.0,175.75,188.0,229.578125,63.327966937873306,301.0,301.0,373.0
3,8320085342944.79,5.714285714285714,8.320086342947823,8.320086342947823,3.0333333333333274,0,1,76.01276008784771,182,8320085.34294479,"[0.0, 8.320086342947823, -1.0, -3.0333333333333274]",0,64,64,0,64,0,64,0,237.6666666666662,726.0999999999984,14260,43566,29.8818317999976,111.69920119999733,3.75,5.556446356432778,5.556446356432778,5556445.356429065,3.7135416666666594,0.0,0.0,0.0,5.714285714285714,3.75,2.6666400934050145,5.714285714285714,5.714285714285714,5.714285714285714,0.5091040475027901,1.8756893702915738,2.1116978781563898,7.142857142857142,5.556446356432778,2.6375871192858753,7.646739142281669,7.899010522024972,8.320086342947823,0.5091040475027901,1.8756893702915738,2.1116978781563898,7.142857142857142,5.556446356432778,2.6375871192858753,7.646739142281669,7.899010522024972,8.320086342947823,1.9666666666666646,2.721666666666662,2.9249999999999945,3.0333333333333274,3.7135416666666594,1.2164485927565727,5.016666666666654,5.016666666666654,9.233333333333372,5.17333984375,5.1746769413643054,7.705949218476235,66.30147276073694,48.287862597330445,30.095241346895076,72.99016893655062,74.08118107765912,76.01276008784771,509103.0475008235,1875688.3702865571,2111696.878151373,7142856.142854209,5556445.356429065,2637587.119286737,7646738.142278565,7899009.5220219195,8320085.34294479,509103047500.8235,1875688370286.5571,2111696878151.373,7142856142854.209,5556445356429.065,2637587119286.7373,7646738142278.564,7899009522021.92,8320085342944.79,118.0,163.3,175.5,182.0,222.8125,72.98691556539433,301.0,301.0,554.0
4,8880287260318.512,8.571428571428571,8.880288260323661,8.880288260323661,5.149999999999987,0,1,77.93286930024624,309,8880287.260318512,"[0.0, 8.880288260323661, -1.0, -5.149999999999987]",0,64,64,0,64,0,64,0,220.98333333333287,947.0833333333313,13259,56825,20.13725549999799,132.79069029999664,4.375,6.134143684591566,6.134143684591566,6134142.684588112,3.452864583333326,0.0,0.0,2.857142857142857,5.714285714285714,4.375,2.523802504482602,5.714285714285714,5.714285714285714,8.571428571428571,0.49819401332310265,1.8757880074637276,5.359201431274414,7.237772260393415,6.134143684591566,2.54229463765605,7.900948524475098,8.208098547799247,8.880288260323661,0.49819401332310265,1.8757880074637276,5.359201431274414,7.237772260393415,6.134143684591566,2.54229463765605,7.900948524475098,8.208098547799247,8.880288260323661,2.1833333333333305,2.7033333333333287,2.883333333333328,2.9999999999999942,3.452864583333326,1.088850353709558,3.566666666666659,5.016666666666654,7.916666666666644,5.1326225903467275,5.173937283229316,45.785724721848965,70.14987840503454,55.13158923898072,27.76557059985825,74.05312433093786,75.81460302323103,77.93286930024624,498193.01332090265,1875787.007458711,5359200.431272218,7237771.260390531,6134142.684588112,2542294.6376567157,7900947.52447204,8208097.547796219,8880287.260318512,498193013320.90265,1875787007458.711,5359200431272.219,7237771260390.531,6134142684588.113,2542294637656.716,7900947524472.04,8208097547796.219,8880287260318.512,131.0,162.2,173.0,180.0,207.171875,65.3310212225737,214.0,301.0,475.0
5,8880287260318.512,8.571428571428571,8.880288260323661,8.880288260323661,5.149999999999987,0,1,77.93286930024624,309,8880287.260318512,"[0.0, 8.880288260323661, -1.0, -5.149999999999987]",0,64,64,0,64,0,64,0,230.7499999999995,1177.8333333333308,13845,70670,25.15495060000103,158.59390999999596,4.419642857142858,6.338620781898499,6.338620781898499,6338619.781894893,3.605468749999992,0.0,0.0,2.857142857142857,5.714285714285714,4.419642857142858,2.6210338112653027,5.714285714285714,5.714285714285714,8.571428571428571,0.49483163016183035,2.1113313947405135,5.42553220476423,7.529159273420062,6.338620781898499,2.5113606081507482,8.10055800846645,8.352741513933454,8.880288260323661,0.49483163016183035,2.1113313947405135,5.42553220476423,7.529159273420062,6.338620781898499,2.5113606081507482,8.10055800846645,8.352741513933454,8.880288260323661,1.9333333333333313,2.883333333333328,2.9499999999999944,3.0333333333333274,3.605468749999992,1.1283055399068729,5.016666666666654,5.016666666666654,7.533333333333312,5.17355959728593,7.705907863004541,45.61358074426971,72.26345366239548,56.53338184604843,27.75496338097353,75.20129193365574,76.31462815403938,78.00918428599834,494830.630159897,2111330.394735497,5425531.204759026,7529158.27341712,6338619.781894893,2511360.6081514363,8100557.008463432,8352740.513930416,8880287.260318512,494830630159.897,2111330394735.4968,5425531204759.026,7529158273417.119,6338619781894.893,2511360608151.4365,8100557008463.433,8352740513930.416,8880287260318.512,116.0,173.0,177.0,182.0,216.328125,67.6983323944126,301.0,301.0,452.0
6,9516848517819.115,8.571428571428571,9.516849517822266,9.516849517822266,3.1499999999999937,0,1,80.70288123190403,189,9516848.517819116,"[0.0, 9.516849517822266, -1.0, -3.1499999999999937]",0,64,64,0,64,0,64,0,221.49999999999955,1399.3333333333303,13290,83960,18.898588900003233,178.26880819999496,5.133928571428571,6.861350238323212,6.861350238323212,6861349.238319751,3.460937499999993,0.0,0.0,5.0,5.714285714285714,5.133928571428571,2.774689148796488,5.714285714285714,8.571428571428571,8.571428571428571,0.509627205984933,1.9515369960239954,6.737619127546037,7.8482464381626675,6.861350238323212,2.486149021156377,8.479982103620255,8.879240308489118,9.516849517822266,0.509627205984933,1.9515369960239954,6.737619127546037,7.8482464381626675,6.861350238323212,2.486149021156377,8.479982103620255,8.879240308489118,9.516849517822266,2.116666666666664,2.864999999999995,2.966666666666661,3.049999999999994,3.460937499999993,1.0462782036471352,3.1624999999999934,5.016666666666654,7.749999999999978,5.173340253531933,7.037819400060835,62.118583034724,74.03547354787588,60.881048549800994,26.156886737427843,76.67602374404669,78.009176248312,80.70288123190403,509626.2059828164,1951535.9960189788,6737618.127543338,7848245.438159667,6861349.238319751,2486149.021156983,8479981.103617206,8879239.30848459,9516848.517819116,509626205982.8164,1951535996018.9788,6737618127543.338,7848245438159.668,6861349238319.752,2486149021156.983,8479981103617.207,8879239308484.588,9516848517819.115,127.0,171.9,178.0,183.0,207.65625,62.776692218828316,189.75,301.0,465.0
7,9979007265895.684,8.571428571428571,9.979008265904017,9.979008265904017,8.333333333333327,0,1,83.84499095007777,500,9979007.265895683,"[0.0, 9.979008265904017, -1.0, -8.333333333333327]",0,64,64,0,64,0,64,0,235.4666666666663,1634.7999999999965,14128,98088,19.10912449999887,198.2208602000028,5.357142857142857,6.975560188293457,6.975560188293457,6975559.188289778,3.679166666666661,0.0,0.0,5.0,5.714285714285714,5.357142857142857,2.9233402756687323,8.571428571428571,8.571428571428571,8.571428571428571,1.8624714442661832,1.9461244855608262,5.870090212140765,8.03832462855748,6.975560188293457,2.548752378949488,8.877477645874023,9.11099406651088,9.979008265904017,1.8624714442661832,1.9461244855608262,5.870090212140765,8.03832462855748,6.975560188293457,2.548752378949488,8.877477645874023,9.11099406651088,9.979008265904017,1.866666666666665,2.921666666666661,3.012499999999994,3.0833333333333273,3.679166666666661,1.4293397611407122,3.766666666666658,5.016666666666654,10.033333333333411,5.008598692831583,5.938992212514861,50.998992528766394,74.94310714304447,60.750066265939154,26.884539372249563,77.95186327397823,78.67900835871697,83.84499095007777,1862470.4442611665,1946123.4855558095,5870089.21213741,8038323.62855447,6975559.188289778,2548752.378950121,8877476.645870939,9110993.066507718,9979007.265895683,1862470444261.1665,1946123485555.8096,5870089212137.41,8038323628554.47,6975559188289.777,2548752378950.1206,8877476645870.94,9110993066507.717,9979007265895.684,112.0,175.3,180.75,185.0,220.75,85.76038566844251,226.0,301.0,602.0
8,9979007265895.684,8.571428571428571,9.979008265904017,9.979008265904017,8.333333333333327,0,1,83.84499095007777,500,9979007.265895683,"[0.0, 9.979008265904017, -1.0, -8.333333333333327]",0,64,64,0,64,0,64,0,204.56666666666626,1839.3666666666627,12274,110362,23.218883599998662,222.378080399998,6.25,7.577322636331831,7.577322636331831,7577321.636328634,3.1963541666666604,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.25,2.714050741709047,8.571428571428571,8.571428571428571,8.571428571428571,0.5148751395089286,4.3516164507184705,7.428082057407924,8.479495729718888,7.577322636331831,2.2371040369802024,9.015285628182546,9.197299139840263,9.979008265904017,0.5148751395089286,4.3516164507184705,7.428082057407924,8.479495729718888,7.577322636331831,2.2371040369802024,9.015285628182546,9.197299139840263,9.979008265904017,1.8999999999999981,2.6849999999999956,2.9999999999999942,3.0666666666666607,3.1963541666666604,0.9042889162266748,3.1166666666666605,3.339999999999993,8.333333333333327,5.115850240108557,35.045625208318235,71.4363340139389,76.67586144059896,66.73915729738962,21.895407798748835,78.52701549977064,79.35119953900576,83.84499095007777,514874.13950692856,4351615.450715835,7428081.057405007,8479494.729715832,7577321.636328634,2237104.0369803244,9015284.628179448,9197298.139837146,9979007.265895683,514874139506.9286,4351615450715.8354,7428081057405.007,8479494729715.831,7577321636328.635,2237104036980.324,9015284628179.447,9197298139837.146,9979007265895.684,114.0,161.1,180.0,184.0,191.78125,54.25733497360057,187.0,200.4,500.0
9,9979007265895.684,8.571428571428571,9.979008265904017,9.979008265904017,8.333333333333327,0,1,83.84499095007777,500,9979007.265895683,"[0.0, 9.979008265904017, -1.0, -8.333333333333327]",0,64,64,0,64,0,64,0,220.74999999999955,2060.1166666666622,13245,123607,20.240850500005763,243.81100899999728,6.294642857142858,7.699304308210101,7.699304308210101,7699303.308206651,3.449218749999993,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.294642857142858,2.633171804117612,8.571428571428571,8.571428571428571,8.571428571428571,1.8758283342633928,4.20395987374442,7.312326431274414,8.402509689331055,7.699304308210101,2.1533529487915994,9.118405069623673,9.355994088309153,9.979008265904017,1.8758283342633928,4.20395987374442,7.312326431274414,8.402509689331055,7.699304308210101,2.1533529487915994,9.118405069623673,9.355994088309153,9.979008265904017,2.2333333333333303,2.883333333333328,3.012499999999994,3.0916666666666606,3.449218749999993,1.1106743356745983,3.1499999999999937,5.016666666666654,8.333333333333327,5.173515932576265,33.31914497888502,70.63118570670485,76.67588621377945,67.58961837293828,21.741645487030727,78.69463757053018,80.02583872228861,83.84499095007777,1875827.3342583762,4203958.873737902,7312325.431271518,8402508.689328006,7699303.308206651,2153352.9487920976,9118404.069620574,9355993.088305939,9979007.265895683,1875827334258.3762,4203958873737.902,7312325431271.518,8402508689328.006,7699303308206.651,2153352948792.0981,9118404069620.574,9355993088305.94,9979007265895.684,134.0,173.0,180.75,185.5,206.953125,66.64046014047604,189.0,301.0,500.0
10,9979007265895.684,8.571428571428571,9.979008265904017,9.979008265904017,8.333333333333327,0,1,83.84499095007777,500,9979007.265895683,"[0.0, 9.979008265904017, -1.0, -8.333333333333327]",0,64,64,0,64,0,64,0,212.06666666666626,2272.1833333333284,12724,136331,25.88523699999496,270.6845350000076,6.294642857142857,7.671480391706739,7.671480391706739,7671479.391703425,3.3135416666666604,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.294642857142857,2.774689148796488,8.571428571428571,8.571428571428571,8.571428571428571,0.5135999407087054,4.746924264090402,7.469120025634766,8.6136109488351,7.671480391706739,2.30289869747223,9.320978437151227,9.486101422991073,9.979008265904017,0.5135999407087054,4.746924264090402,7.469120025634766,8.6136109488351,7.671480391706739,2.30289869747223,9.320978437151227,9.486101422991073,9.979008265904017,1.9166666666666647,2.209999999999997,3.016666666666661,3.099999999999994,3.3135416666666604,1.0894055583143063,3.1541666666666606,4.956666666666655,8.333333333333327,5.175578864174895,39.20942786633968,72.05694437772036,77.12485352903605,66.8525103258686,21.67181788653654,79.6296535730362,80.62527786642313,83.84499095007777,513598.9407067887,4746923.264088098,7469119.025631833,8613609.94883196,7671479.391703425,2302898.6974723632,9320977.437147941,9486100.422987927,9979007.265895683,513598940706.7887,4746923264088.099,7469119025631.832,8613609948831.959,7671479391703.426,2302898697472.363,9320977437147.94,9486100422987.928,9979007265895.684,115.0,132.6,181.0,186.0,198.8125,65.36433349885853,189.25,297.40000000000003,500.0
