generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,6,0,1,1,1792537565958.9302,"[0.0, 1.7925425938197546, -5.027859824534212, -1.0]",1.7925425938197546,0.0,1.7925425938197546,5.027859824534212,0,1,0,4.355407438750262,1.4733133986112332,236,1,0
1,2,1,0,1,1,1787567583878.6323,"[0.0, 1.7875725882393971, -5.004359764916831, -1.0]",1.7875725882393971,0.0,1.7875725882393971,5.004359764916831,0,1,0,4.298100627092936,1.4698354603081698,228,1,0
1,3,39,0,1,1,1783453136735.1755,"[0.0, 1.7834581647600447, -5.028023869060111, -1.0]",1.7834581647600447,0.0,1.7834581647600447,5.028023869060111,0,1,0,4.26649805449415,1.4642185540260693,232,1,0
1,4,11,0,1,1,1772510417131.322,"[0.0, 1.7725154331752233, -5.016042901282746, -1.0]",1.7725154331752233,0.0,1.7725154331752233,5.016042901282746,0,1,0,4.192556766145572,1.4540365188080648,229,1,0
1,5,22,0,0,1,1771970911713.3425,"[0.0, 1.7719759259905135, -5.014276170905051, -1.0]",1.7719759259905135,0.0,1.7719759259905135,5.014276170905051,0,1,0,4.1420177985710325,1.453609184980669,235,1,0
1,6,40,0,0,1,1771851027682.3823,"[0.0, 1.7718560355050224, -5.0078216402248685, -1.0]",1.7718560355050224,0.0,1.7718560355050224,5.0078216402248685,0,1,0,4.199282437097281,1.4538991059669355,231,1,0
1,7,33,0,0,1,1768058120310.2747,"[0.0, 1.7680631365094865, -5.016198211864287, -1.0]",1.7680631365094865,0.0,1.7680631365094865,5.016198211864287,0,1,0,4.1596535486824,1.4495743611530238,238,1,0
1,8,8,0,0,1,1764259771902.5273,"[0.0, 1.7642647879464286, -5.016042901282746, -1.0]",1.7642647879464286,0.0,1.7642647879464286,5.016042901282746,0,1,0,4.066842497748439,1.4457858735792701,229,1,0
1,9,7,0,0,1,1761306117988.5657,"[0.0, 1.7613111223493305, -5.004359764916831, -1.0]",1.7613111223493305,0.0,1.7613111223493305,5.004359764916831,0,1,0,4.036973899550503,1.4435739944181032,228,1,0
1,10,26,0,0,1,1759742086160.0085,"[0.0, 1.759747096470424, -5.010309415585722, -1.0]",1.759747096470424,0.0,1.759747096470424,5.010309415585722,0,1,0,4.039044524295605,1.4416322129411718,239,1,0
1,11,20,0,0,1,1757660351366.482,"[0.0, 1.7576653616768974, -5.010309415585722, -1.0]",1.7576653616768974,0.0,1.7576653616768974,5.010309415585722,0,1,0,4.063489183688944,1.4395504781476451,239,1,0
1,12,12,0,0,1,1756913768399.0994,"[0.0, 1.7569187709263394, -5.002526239948676, -1.0]",1.7569187709263394,0.0,1.7569187709263394,5.002526239948676,0,1,0,3.9858431403845316,1.4392980572788043,233,1,0
1,13,5,0,0,1,1754227118093.9336,"[0.0, 1.7542321341378349, -5.016042901282746, -1.0]",1.7542321341378349,0.0,1.7542321341378349,5.016042901282746,0,1,0,3.987134448478173,1.4357532197706764,229,1,0
1,14,47,0,0,1,1749496894867.389,"[0.0, 1.7495019095284596, -5.014660070878808, -1.0]",1.7495019095284596,0.0,1.7495019095284596,5.014660070878808,0,1,0,3.9834431878189207,1.4311107939171066,234,1,0
1,15,9,0,0,1,1748826584862.3896,"[0.0, 1.7488316127232142, -5.027859824534212, -1.0]",1.7488316127232142,0.0,1.7488316127232142,5.027859824534212,0,1,0,3.9180017769685946,1.4296024175146929,236,1,0
1,16,36,0,0,1,1746401538976.5696,"[0.0, 1.7464065551757815, -5.016198211864287, -1.0]",1.7464065551757815,0.0,1.7464065551757815,5.016198211864287,0,1,0,3.9577480887965066,1.4279177798193188,238,1,0
1,17,10,0,0,0,1743235352084.5476,"[0.0, 1.7432403564453125, -5.004359764916831, -1.0]",1.7432403564453125,0.0,1.7432403564453125,5.004359764916831,0,1,0,3.9206062937519164,1.4255032285140852,228,1,0
1,18,35,0,0,0,1741916546443.8398,"[0.0, 1.7419215611049106, -5.014660070878808, -1.0]",1.7419215611049106,0.0,1.7419215611049106,5.014660070878808,0,1,0,3.8900627063412685,1.4235304454935576,234,1,0
