generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,1792537565958.9302,0.0,1.7925425938197546,1.7925425938197546,5.027859824534212,0,1,4.355407438750262,236,1.4733133986112332,"[0.0, 1.7925425938197546, -5.027859824534212, -1.0]",0,48,48,0,48,0,48,0,240.64508324718793,240.64508324718793,11162,11162,65.04838309999923,65.48384139999962,0.0,1.733317148117792,1.733317148117792,1.415003545938972,5.013439234316415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6801779610770091,1.7040290832519531,1.7144502912248882,1.7286246163504466,1.733317148117792,0.027162643325714823,1.754903793334961,1.7718920026506697,1.7925425938197546,1.6801779610770091,1.7040290832519531,1.7144502912248882,1.7286246163504466,1.733317148117792,0.027162643325714823,1.754903793334961,1.7718920026506697,1.7925425938197546,5.002070196348256,5.002589570853394,5.007397788626946,5.014276170905051,5.013439234316415,0.00785599021865265,5.016198211864287,5.025347221898124,5.028023869060111,3.355652830330655,3.562430766731995,3.6629748432060296,3.7677297592344985,3.8271272160397225,0.235207316387804,3.986165967407942,4.169524513921352,4.355407438750262,1.3616990467098506,1.3851394080668056,1.3963605081708608,1.4103982104714943,1.415003545938972,0.027174913832339553,1.4366394291477085,1.4536961612765489,1.4733133986112332,1680172945033.1077,1704024060738.5688,1714445281309.8052,1728619603816.0903,1733312134677.5579,27162643446.889553,1754898780670.225,1771886992891.6704,1792537565958.9302,223.0,226.5,229.0,233.0,232.54166666666666,4.509057243174256,235.25,238.0,239.0
2,1871218442624.0422,0.0,1.8712234497070312,1.8712234497070312,5.0070819889921205,0,1,5.157655101931596,223,1.5533134821519758,"[0.0, 1.8712234497070312, -5.0070819889921205, -1.0]",4,44,48,0,48,0,48,0,240.5684713461829,481.2135545933708,11150,22312,15.47470599999997,81.48354819999986,0.0,1.7599225044250488,1.7599225044250488,1.4417102407396218,5.011843153045477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647894723074777,1.7123729160853796,1.7416354588099887,1.7644963945661272,1.7599225044250488,0.04240477977331616,1.7830004010881697,1.804182870047433,1.8712234497070312,1.647894723074777,1.7123729160853796,1.7416354588099887,1.7644963945661272,1.7599225044250488,0.04240477977331616,1.7830004010881697,1.804182870047433,1.8712234497070312,5.002070196348256,5.002616712669702,5.005893029583679,5.0078216402248685,5.011843153045477,0.008952199909517464,5.016634767318903,5.028023869060111,5.028862103217157,3.1882351481181104,3.671749682342488,3.878197925118002,4.101319693101686,4.083301768718381,0.3790518488063009,4.290859442586225,4.482716378234182,5.157655101931596,1.3298713262285051,1.3946616236298195,1.4230062292590442,1.4466445243073336,1.4417102407396218,0.04238617451584302,1.4650375006649434,1.4864794899238285,1.5533134821519758,1647889714205.2766,1712367912131.5234,1741630440398.6233,1764491388644.6306,1759917492580.8958,42404779420.35094,1782995389661.4302,1804177863205.3088,1871218442624.0422,223.0,226.4,230.0,232.0,232.29166666666666,4.721221299150841,235.0,240.0,243.0
3,1990591221756.9932,0.0,1.9905962262834822,1.9905962262834822,5.004525489105944,0,1,6.388164929143386,243,1.6728485761815175,"[0.0, 1.9905962262834822, -5.004525489105944, -1.0]",4,44,48,0,48,0,48,0,240.72137686284114,721.934931456212,11191,33503,15.23965969999972,97.53785199999948,0.0,1.7964891024998255,1.7964891024998255,1.4780745828399826,5.015028684642524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6985484531947543,1.7275134495326452,1.7623465401785714,1.7996106828962053,1.7964891024998255,0.05659831200637702,1.822701862880162,1.8662567138671875,1.9905962262834822,1.6985484531947543,1.7275134495326452,1.7623465401785714,1.7996106828962053,1.7964891024998255,0.05659831200637702,1.822701862880162,1.8662567138671875,1.9905962262834822,5.002616712669702,5.004525489105944,5.007913468525298,5.013605534584871,5.015028684642524,0.008215595658974121,5.020516898648075,5.028307462383733,5.029022493262783,3.5828841995753464,3.78067185087275,4.068955650835051,4.415058044192847,4.432688782659625,0.5486256675751164,4.700385620131783,5.090211682485097,6.388164929143386,1.3803046006575186,1.4086199732452758,1.4434482288103512,1.480845436438222,1.4780745828399826,0.05672629908592348,1.5048075867570958,1.5478206400808765,1.6728485761815175,1698543440853.077,1727508435468.1682,1762341517529.1672,1799605662342.5737,1796484087470.1409,56598313986.5947,1822696856044.313,1866251698498.0254,1990591221756.9932,223.0,227.7,229.0,231.0,233.14583333333334,5.334594577430937,236.0,242.0,243.0
4,2148813940703.0693,0.0,2.1488189697265625,2.1488189697265625,5.029022493262783,0,1,8.153312160473433,230,1.8295159542813064,"[0.0, 2.1488189697265625, -5.029022493262783, -1.0]",4,44,48,0,48,0,48,0,240.67133469740887,962.6062661536208,11163,44666,11.672996900000726,109.42835029999878,0.0,1.8322358812604629,1.8322358812604629,1.5138875549411395,5.013986139529352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6896002633231026,1.734511239188058,1.778372355869838,1.8180111476353238,1.8322358812604629,0.08669348728057963,1.874087197440011,1.9362803867885048,2.1488189697265625,1.6896002633231026,1.734511239188058,1.778372355869838,1.8180111476353238,1.8322358812604629,0.08669348728057963,1.874087197440011,1.9362803867885048,2.1488189697265625,5.000782436721908,5.003998828697484,5.007658926978143,5.014368771551759,5.013986139529352,0.007910182557166264,5.019976226246551,5.0241216543855405,5.029022493262783,3.4397028894309187,3.899267936674005,4.2426505241182895,4.6132820855636965,4.798552180482905,0.874249703202332,5.187074357570964,5.7983935432035665,8.153312160473433,1.370844150965089,1.4160334994684733,1.4601166244287986,1.4998547201627028,1.5138875549411395,0.08659779030460776,1.555545192316915,1.617408005199254,1.8295159542813064,1689595242913.333,1734506223162.6575,1778367348115.1172,1818006136670.591,1832230867273.3235,86693485751.27182,1874082180402.4302,1936275364547.4946,2148813940703.0693,225.0,228.7,230.0,233.0,232.5625,3.779915398083225,235.0,236.0,243.0
5,2148813940703.0693,0.0,2.1488189697265625,2.1488189697265625,5.029022493262783,0,1,8.153312160473433,230,1.8295159542813064,"[0.0, 2.1488189697265625, -5.029022493262783, -1.0]",4,44,48,0,48,0,48,0,240.54998092864162,1203.1562470822623,11110,55776,16.44902799999909,126.25034459999915,0.0,1.888462361835298,1.888462361835298,1.5702745563741318,5.011457936013367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6885539463588168,1.7802685328892298,1.815289088657924,1.8897138323102678,1.888462361835298,0.09543735501725893,1.944528307233538,2.003765106201172,2.1488189697265625,1.6885539463588168,1.7802685328892298,1.815289088657924,1.8897138323102678,1.888462361835298,0.09543735501725893,1.944528307233538,2.003765106201172,2.1488189697265625,5.000782436721908,5.002369152828185,5.004402075506468,5.008833444878082,5.011457936013367,0.008759707400904985,5.017713258284811,5.025076783334514,5.029246466440459,3.4395225077460054,4.236425032827538,4.640054855899507,5.328827899997123,5.39973123624668,1.0332595153303334,5.944694507446911,6.64793580085825,8.153312160473433,1.3703294373889547,1.4620165205570228,1.4974187632993967,1.5716976738438833,1.5702745563741318,0.09521780844949217,1.6265597777012084,1.685042861254413,1.8295159542813064,1688548934321.8005,1780263520419.0356,1815284082199.2996,1889708823554.772,1888457350376.362,95437351537.85402,1944523299228.198,2003760086324.814,2148813940703.0693,223.0,223.0,229.0,231.0,231.45833333333334,5.167842608112425,235.0,239.0,243.0
6,2224770035191.2305,0.0,2.224775041852679,2.224775041852679,5.006660448087148,0,1,8.955629856674932,223,1.9068918387995266,"[0.0, 2.224775041852679, -5.006660448087148, -1.0]",4,44,48,0,48,0,48,0,240.6480863282015,1443.8043334104639,11101,66877,18.212255400001595,144.95930919999955,0.0,1.94196689696539,1.94196689696539,1.6236493224571873,5.013501798504198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7724009922572546,1.8268895830426897,1.8658406393868583,1.9079126630510603,1.94196689696539,0.1103143775313388,2.026022502354213,2.1058333260672435,2.224775041852679,1.7724009922572546,1.8268895830426897,1.8658406393868583,1.9079126630510603,1.94196689696539,0.1103143775313388,2.026022502354213,2.1058333260672435,2.224775041852679,5.001502575738615,5.003084693239922,5.003916296995256,5.011629357859334,5.013501798504198,0.009382991996720488,5.0197456028433445,5.028504793957228,5.030632779082591,4.188268750498537,4.755918008340086,5.109028767199561,5.6203076976198645,5.988877345342492,1.1978523539319297,6.77427374382205,7.820101347191667,8.955629856674932,1.45314493366511,1.508883784742809,1.548182270256444,1.5892620613706168,1.6236493224571873,0.11026145890000695,1.7080062299059655,1.787079423500407,1.9068918387995266,1772395963973.3318,1826884574450.3665,1865835636266.5444,1907907644303.0835,1941961883462.5918,110314376672.73454,2026017493596.922,2105828305692.2783,2224770035191.2305,222.0,224.0,226.0,231.0,231.27083333333334,5.298347161038892,236.0,238.0,242.0
7,2856640643245.9805,0.0,2.856685093470982,2.856685093470982,44.45022400181354,0,1,35.08059796383168,2043,2.1407212955748918,"[0.0, 2.856685093470982, -44.45022400181354, -1.0]",4,44,48,0,48,0,48,0,280.00834372830235,1723.8126771387663,12897,79774,19.192985200001203,164.76433919999909,0.0,2.0670346986679804,2.0670346986679804,1.6966532916199615,5.833507161006299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7929894583565846,1.8706904820033483,1.9393539428710938,2.034375326974051,2.0670346986679804,0.19249550326477083,2.1492249625069757,2.247029985700335,2.856685093470982,1.7929894583565846,1.8706904820033483,1.9393539428710938,2.034375326974051,2.0670346986679804,0.19249550326477083,2.1492249625069757,2.247029985700335,2.856685093470982,5.00038286095963,5.0019046966189915,5.005072944476148,5.0102752217613435,5.833507161006299,5.632833174783165,5.018640533283645,5.023955366420186,44.45022400181354,4.427851624539471,5.160802253662405,6.019162029839208,6.8963562080862175,7.7624607330049,4.352294296462222,8.282193080489378,9.298383926639508,35.08059796383168,0.03444864891139243,1.5364007425219843,1.6076275011080676,1.7113740396420527,1.6966532916199615,0.2874645428894616,1.8148106951616725,1.9127260772426036,2.1407212955748918,1792984440008.13,1870685469179.1597,1939348925457.9644,2034370315306.3923,2067028865159.8193,192492135391.22125,2149219938206.3042,2247024977976.8677,2856640643245.9805,221.0,223.7,225.0,232.5,268.6875,258.86991233130334,236.0,238.0,2043.0
8,3029342335607.6035,2.857142857142857,3.0293873378208707,3.0293873378208707,45.00221326717789,0,0,35.19996607273788,2093,2.3127723673565614,"[0.0, 3.0293873378208707, -45.00221326717789, -0.0]",4,44,48,0,47,1,47,1,319.8866714174188,2043.6993485561852,14789,94563,23.688458000000537,188.66840869999942,0.05952380952380953,2.156221412477039,2.156221412477039,1.7330908947291308,6.664305654529559,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.8225751604352678,1.9466972351074219,2.005706514630999,2.0785413469587053,2.156221412477039,0.23689874567726857,2.2117832728794644,2.4426400320870534,3.0293873378208707,1.8225751604352678,1.9466972351074219,2.005706514630999,2.0785413469587053,2.156221412477039,0.23689874567726857,2.2117832728794644,2.4426400320870534,3.0293873378208707,5.000024829428919,5.00038286095963,5.002207817322575,5.007793352565361,6.664305654529559,7.936661577481021,5.015173309667666,5.023955366420186,45.00221326717789,4.649216122023063,6.02633938603758,6.809242967374303,7.52344188148345,9.15089039061892,5.753425254278377,9.143321924773772,11.527801600472595,35.19996607273788,0.03444864891139243,1.6215003758428275,1.6658906627006296,1.7368690667419668,1.7330908947291308,0.3802769512458286,1.8580859321915897,2.0684559344602906,2.3127723673565614,1822570158871.6184,1946692222665.5117,2005701508295.8367,2078536328951.026,2156214748170.4055,236893246154.93674,2211778272026.3203,2442635031679.586,3029342335607.6035,221.0,224.0,229.0,232.0,308.1041666666667,367.03214207474014,236.0,238.0,2093.0
9,4581276150207.457,2.857142857142857,4.581282479422432,4.581282479422432,6.329213975266893,0,1,37.45137847959995,285,4.179427623849931,"[0.0, 4.581282479422432, -6.329213975266893, -1.0]",4,44,48,0,46,2,46,2,394.891289223945,2438.5906377801302,18320,112883,16.655202800000552,205.77211460000035,0.2976190476190476,2.4123705001104443,2.4123705001104443,1.890027524946496,8.226901858832187,0.0,0.0,0.0,0.0,0.2976190476190476,0.8727903749175703,0.0,0.8571428571428693,2.857142857142857,1.9197627476283483,1.9937324523925781,2.0933123997279575,2.2075816563197543,2.4123705001104443,0.5163540996619551,2.6133114950997487,2.908644539969309,4.581282479422432,1.9197627476283483,1.9937324523925781,2.0933123997279575,2.2075816563197543,2.4123705001104443,0.5163540996619551,2.6133114950997487,2.908644539969309,4.581282479422432,4.172552777844991,5.002478226877654,5.006798983709086,5.01232587573384,8.226901858832187,10.04228255283832,5.0197344509811925,10.48858593382866,45.02662507560052,5.800151137482317,6.431943701254204,7.727530202495473,8.971705878990178,12.569223734635065,8.315416990081092,13.533981226304604,23.837315127810875,37.45137847959995,0.03444864891139243,1.5937809627341328,1.7360950779787323,1.8414575470506989,1.890027524946496,0.5859965009304823,2.041494530546454,2.3655119948893617,4.179427623849931,1919757742666.232,1993727442656.7405,2093307384797.5737,2207576642637.831,2412362273207.6274,516349070357.9869,2613306486580.1064,2908614476865.6387,4581276150207.457,205.0,227.7,232.0,234.0,381.6666666666667,462.25747394955357,237.0,477.9000000000027,2093.0
10,8414812034015.289,5.714285714285714,8.414857046944753,8.414857046944753,45.01292946493972,0,0,66.07615506222646,2074,5.593273468367204,"[0.0, 8.414857046944753, -45.01292946493972, -0.0]",4,44,48,0,45,3,45,3,551.158944348261,2989.749582128391,25353,138236,29.021797499999593,235.34395070000028,1.0714285714285714,3.007535026186988,3.007535026186988,2.2784888035041035,11.482478007255438,0.0,0.0,0.0,0.0,1.0714285714285714,1.7127969726116856,2.857142857142857,2.857142857142857,5.714285714285714,1.8267985752650668,2.079808371407645,2.1705899919782365,2.545732770647321,3.007535026186988,1.3990619418735906,3.1343460083007812,4.219527108328685,8.414857046944753,1.8267985752650668,2.079808371407645,2.1705899919782365,2.545732770647321,3.007535026186988,1.3990619418735906,3.1343460083007812,4.219527108328685,8.414857046944753,3.8659844167380863,5.003124932497072,5.005624615917676,5.013250881369044,11.482478007255438,13.405559868224248,6.530846791074579,42.29185602119498,45.02662507560052,4.758968092937721,7.367421394076518,8.846578646131093,12.762328897533735,18.92852908374137,14.72339423757552,25.082498683594167,35.46375340711749,69.85504866979318,0.1712230612817689,1.5365848012993382,1.7970728139816172,2.0769215107400836,2.2784888035041035,0.9993307044872402,2.397925807412565,3.4462627657453306,5.593273468367204,1826793570258.7156,2079803366362.7068,2170584969644.4688,2545727765535.8906,3007523543708.0444,1399052467765.4011,3134340778754.298,4219520214541.8257,8414812034015.289,178.0,225.4,228.75,234.0,528.1875,615.9373837307518,298.25,1946.6000000000001,2081.0
