generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8884031113208.396,8.571428571428571,8.884032113211497,8.884032113211497,3.099999999999994,0,1,78.67892757058144,186,8884031.113208396,"[0.0, 8.884032113211497, -1.0, -3.099999999999994]",0,64,64,0,50,14,50,14,630.6333333333268,630.6333333333268,37838,37838,64.03859470000316,64.21060459999717,1.8303571428571428,3.2397751723017008,3.2397751723017008,3239774.391041847,9.853645833333232,0.0,0.0,0.0,0.0,1.8303571428571428,2.7370841171373805,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.8755504063197543,2.1114894321986606,3.2397751723017008,2.9180677875875953,7.142857142857142,7.307524272373745,8.884032113211497,0.0,0.0,1.8755504063197543,2.1114894321986606,3.2397751723017008,2.9180677875875953,7.142857142857142,7.307524272373745,8.884032113211497,2.6166666666666623,2.8216666666666614,3.0833333333333273,5.016666666666654,9.853645833333232,10.706780638382911,5.016666666666654,30.016666666666243,30.016666666666243,5.173422471736558,5.173871177225374,7.705713018025563,63.18069291114807,89.66660767812823,111.30479630849202,75.51745443046093,293.87195178018885,293.8732923194766,-1.0000050166666667,-3.0016666666666243e-05,1875549.4063147376,2111488.4321936443,3239774.391041847,2918067.560026503,7142856.142853113,7307523.27237081,8884031.113208396,-1000005.0166666667,-30.016666666666243,1875549406314.7378,2111488432193.6443,3239774391041.8477,2918067560026.503,7142856142853.113,7307523272370.81,8884031113208.396,157.0,169.3,185.0,301.0,591.21875,642.406838302985,301.0,1801.0,1801.0
2,8884031113208.396,8.571428571428571,8.884032113211497,8.884032113211497,3.099999999999994,0,1,78.67892757058144,186,8884031.113208396,"[0.0, 8.884032113211497, -1.0, -3.099999999999994]",8,56,64,0,64,0,64,0,274.766666666666,905.3999999999928,16486,54324,22.807838599997922,88.5373122000019,2.9464285714285716,4.7270018713814865,4.7270018713814865,4727000.871377194,4.293229166666657,0.0,0.0,0.0,2.857142857142857,2.9464285714285716,2.8557474270927634,5.714285714285714,5.714285714285714,8.571428571428571,1.173755100795201,1.8758010864257812,2.1117401123046875,5.45968736921038,4.7270018713814865,2.623472807214201,7.2067267554146905,7.713123866489956,8.884032113211497,1.173755100795201,1.8758010864257812,2.1117401123046875,5.45968736921038,4.7270018713814865,2.623472807214201,7.2067267554146905,7.713123866489956,8.884032113211497,2.583333333333329,2.8999999999999946,3.012499999999994,5.016666666666654,4.293229166666657,1.1892958597115664,5.016666666666654,5.016666666666654,7.349999999999979,5.173585621698294,5.292107722832589,7.705704897307442,46.06006472183799,38.8729441719247,30.90926192663596,70.68965170532465,74.0374859660864,78.67892757058144,1173754.1007901842,1875800.0864207647,2111739.112299671,5459686.369204588,4727000.871377194,2623472.8072150066,7206725.755410354,7713122.866486972,8884031.113208396,1173754100790.1843,1875800086420.7646,2111739112299.671,5459686369204.588,4727000871377.194,2623472807215.0063,7206725755410.354,7713122866486.973,8884031113208.396,155.0,174.0,180.75,301.0,257.59375,71.35775158269422,301.0,301.0,441.0
3,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,63,1,63,1,270.949999999999,1176.3499999999917,16257,70581,13.332331600002362,103.080812900007,3.6607142857142856,5.472741723060608,5.472741723060608,5472740.738681374,4.233593749999985,0.0,0.0,0.0,5.714285714285714,3.6607142857142856,2.7418129522828725,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8758076259068082,2.111830030168806,7.142857142857142,5.472741723060608,2.637085245009907,7.487696920122419,7.884855542864119,9.509612492152623,0.0,1.8758076259068082,2.111830030168806,7.142857142857142,5.472741723060608,2.637085245009907,7.487696920122419,7.884855542864119,9.509612492152623,1.949999999999998,2.7666666666666617,2.9124999999999943,3.133333333333327,4.233593749999985,3.4454220484441427,5.016666666666654,5.016666666666654,30.016666666666243,5.173515259113628,5.174855735187885,7.705964308457624,65.72109704464674,52.523499327706986,41.93955488427765,73.00304933264852,75.29375277459621,293.85633584158495,-3.0016666666666243e-05,1875806.6259017915,2111829.0301637896,7142856.142853751,5472740.738681374,2637085.212585052,7487695.920119468,7884854.542861078,9509611.492149457,-30.016666666666243,1875806625901.7915,2111829030163.7893,7142856142853.751,5472740738681.375,2637085212585.052,7487695920119.469,7884854542861.077,9509611492149.457,117.0,166.0,174.75,188.0,254.015625,206.7253229066516,301.0,301.0,1801.0
4,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,63,1,63,1,269.3833333333324,1445.733333333324,16163,86744,17.011512800003402,121.14155159999791,4.151785714285715,5.912797195570809,5.912797195570809,5912796.2111916,4.209114583333319,0.0,0.0,2.142857142857143,5.714285714285714,4.151785714285715,2.669254630156562,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.875708443777902,4.075287410191127,7.142857142857142,5.912797195570809,2.6663991179694735,7.9100315911429275,8.237300872802734,9.509612492152623,0.0,1.875708443777902,4.075287410191127,7.142857142857142,5.912797195570809,2.6663991179694735,7.9100315911429275,8.237300872802734,9.509612492152623,1.9833333333333312,2.6499999999999955,2.9458333333333275,3.0916666666666606,4.209114583333319,3.5480982407142005,5.016666666666654,5.8333333333333215,30.016666666666243,4.883731204026844,5.174753317370778,45.37506501149619,70.01885424554348,58.0207686611908,40.63990031537098,75.22650320455432,77.30964276343585,293.8623243602924,-1.0000077666666667,1875707.4437728852,4075286.4101883853,7142856.142854343,5912796.2111916,2666399.083322414,7910030.591139911,8237299.872799495,9509611.492149457,-1000007.7666666667,1875707443772.8853,4075286410188.3853,7142856142854.343,5912796211191.601,2666399083322.414,7910030591139.91,8237299872799.495,9509611492149.457,119.0,159.0,176.75,185.5,252.546875,212.88589444285495,301.0,350.0000000000002,1801.0
5,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,63,1,63,1,291.14999999999895,1736.883333333323,17469,104213,19.121666200007894,141.13549610000337,3.5267857142857144,5.235955459730965,5.235955459730965,5235954.4753514165,4.549218749999984,0.0,0.0,0.0,5.714285714285714,3.5267857142857144,3.3404672279518635,5.714285714285714,8.571428571428571,8.571428571428571,0.5024010794503349,1.8756790161132815,1.8758256094796315,6.80595670427595,5.235955459730965,3.0402953726102293,8.104331152779714,8.674534661429268,9.509612492152623,0.5024010794503349,1.8756790161132815,1.8758256094796315,6.80595670427595,5.235955459730965,3.0402953726102293,8.104331152779714,8.674534661429268,9.509612492152623,2.6833333333333287,2.933333333333328,3.0833333333333273,5.016666666666654,4.549218749999984,3.405615294698072,5.016666666666654,5.016666666666654,30.016666666666243,5.173340839333832,5.173773694958072,5.180461373387516,65.11727840453386,47.55818861729358,45.371034749842615,76.43458477593958,78.00915190279484,293.8694757078774,502400.0794453182,1875678.0161082647,1875824.609474615,6805955.7042708825,5235954.4753514165,3040295.360385973,8104330.152776665,8674533.661426187,9509611.492149457,502400079445.3182,1875678016108.265,1875824609474.615,6805955704270.883,5235954475351.416,3040295360385.973,8104330152776.665,8674533661426.186,9509611492149.457,161.0,176.0,185.0,301.0,272.953125,204.33691768188726,301.0,301.0,1801.0
6,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,63,1,63,1,268.86666666666576,2005.7499999999886,16132,120345,19.926898000005167,161.802288100007,4.598214285714286,6.117648908070155,6.117648908070155,6117647.923690954,4.201041666666653,0.0,0.0,0.0,5.714285714285714,4.598214285714286,3.2583169680504867,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8757465907505582,2.111274174281529,7.494908741542272,6.117648908070155,2.9801475106661433,8.392185483660016,8.907194410051618,9.509612492152623,0.0,1.8757465907505582,2.111274174281529,7.494908741542272,6.117648908070155,2.9801475106661433,8.392185483660016,8.907194410051618,9.509612492152623,2.033333333333331,2.9049999999999945,2.9999999999999942,3.0833333333333273,4.201041666666653,3.481661873450856,5.016666666666654,5.016666666666654,30.016666666666243,5.173544001590926,5.1746637653151994,8.087124368465084,72.73230242729187,58.84227143941166,42.51538236837777,77.77109012380242,79.14986708462239,293.8669882216491,-1.000008,1875745.5907455415,2111273.1742765126,7494907.741539321,6117647.923690954,2980147.4785928787,8392184.483656958,8907193.410048518,9509611.492149457,-1000008.0,1875745590745.5415,2111273174276.5125,7494907741539.32,6117647923690.954,2980147478592.8784,8392184483656.959,8907193410048.518,9509611492149.457,122.0,174.3,180.0,185.0,252.0625,208.8997124070543,301.0,301.0,1801.0
7,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,62,2,62,2,284.04999999999865,2289.7999999999874,17043,137388,22.50737430001027,185.1802699999971,4.732142857142858,6.401077253477913,6.401077253477913,6401076.284723476,4.438281249999979,0.0,0.0,2.142857142857143,5.714285714285714,4.732142857142858,3.122447937508163,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.875786372593471,4.255151748657227,7.768654142107282,6.401077253477913,2.945178475155314,8.445843969072614,9.114593778337753,9.509612492152623,0.0,1.875786372593471,4.255151748657227,7.768654142107282,6.401077253477913,2.945178475155314,8.445843969072614,9.114593778337753,9.509612492152623,2.066666666666664,2.8933333333333278,2.9999999999999942,3.1166666666666605,4.438281249999979,4.717317828733469,5.016666666666654,5.016666666666654,30.016666666666243,5.173408488102723,5.2921974125609275,46.13946709285665,74.69382094591856,64.98914664589267,50.033227346776506,78.31662375107408,79.89547043293715,293.87235307879746,-3.0016666666666243e-05,1875785.3725884543,4255150.748654422,7768653.14210429,6401076.284723476,2945178.4072386795,8445842.969069548,9114592.778333493,9509611.492149457,-30.016666666666243,1875785372588.4543,4255150748654.423,7768653142104.291,6401076284723.476,2945178407238.679,8445842969069.548,9114592778333.492,9509611492149.457,124.0,173.6,180.0,187.0,266.296875,283.03906972401245,301.0,301.0,1801.0
8,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,64,0,64,0,232.44999999999948,2522.249999999987,13947,151335,15.11986250001064,200.94727889999922,4.5982142857142865,6.306056082248688,6.306056082248688,6306055.082245056,3.632031249999992,0.0,0.0,2.142857142857143,5.714285714285714,4.5982142857142865,3.097776832023315,5.714285714285714,8.571428571428571,8.571428571428571,1.8747656685965401,1.8757825578962053,3.980787822178432,7.654429844447545,6.306056082248688,2.758244126272122,8.432256153651645,9.115355627877372,9.509612492152623,1.8747656685965401,1.8757825578962053,3.980787822178432,7.654429844447545,6.306056082248688,2.758244126272122,8.432256153651645,9.115355627877372,9.509612492152623,2.066666666666664,2.8066666666666618,3.016666666666661,3.1166666666666605,3.632031249999992,1.0524248813895816,5.016666666666654,5.016666666666654,6.21666666666665,5.095973983232398,5.175136156269582,30.785473005846143,73.85454358905554,54.406620897516405,29.87868239047404,77.34124984964728,79.36366476081312,81.38202187418938,1874764.6685915235,1875781.5578911887,3980786.82217552,7654428.84444367,6306055.082245056,2758244.126272842,8432255.15364858,9115354.627873108,9509611.492149457,1874764668591.5234,1875781557891.1887,3980786822175.5195,7654428844443.67,6306055082245.055,2758244126272.842,8432255153648.579,9115354627873.107,9509611492149.457,124.0,168.4,181.0,187.0,217.921875,63.1454928833751,301.0,301.0,373.0
9,9509611492149.457,8.571428571428571,9.509612492152623,9.509612492152623,3.1666666666666603,0,1,81.38202187418938,190,9509611.492149457,"[0.0, 9.509612492152623, -1.0, -3.1666666666666603]",8,56,64,0,64,0,64,0,246.78333333333285,2769.0333333333197,14807,166142,16.300711000003503,218.30998459999682,5.4017857142857135,6.89618923834392,6.89618923834392,6896188.238340064,3.8559895833333258,0.0,0.0,5.0,5.714285714285714,5.4017857142857135,3.1990586745261838,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8753138950892858,6.115891592843192,8.26620238167899,6.89618923834392,2.9578333141005215,9.031982421875,9.227824074881417,9.509612492152623,0.0,1.8753138950892858,6.115891592843192,8.26620238167899,6.89618923834392,2.9578333141005215,9.031982421875,9.227824074881417,9.509612492152623,2.499999999999996,3.016666666666661,3.062499999999994,3.133333333333327,3.8559895833333258,1.344566506413598,5.016666666666654,5.016666666666654,8.800000000000017,5.173606167139951,7.705761611416529,57.23546633736987,76.56350579857826,61.88278048123857,27.4332476268495,79.17663672193885,80.02599524855614,81.38202187418938,-1.0000088,1875312.895084269,6115890.5928397635,8266201.38167594,6896188.238340064,2957833.3141013505,9031981.421871878,9227823.074878272,9509611.492149457,-1000008.8,1875312895084.2693,6115890592839.764,8266201381675.939,6896188238340.064,2957833314101.3506,9031981421871.879,9227823074878.271,9509611492149.457,150.0,181.0,183.75,188.0,231.359375,80.67399038481594,301.0,301.0,528.0
10,9970426921834.74,8.571428571428571,9.970427921840123,9.970427921840123,5.3833333333333195,0,1,84.24294131994247,323,9970426.92183474,"[0.0, 9.970427921840123, -1.0, -5.3833333333333195]",8,56,64,0,64,0,64,0,232.83333333333283,3001.8666666666527,13970,180112,22.280369700005394,241.24053389999608,5.223214285714285,6.689751318522862,6.689751318522862,6689750.3185192235,3.6380208333333255,0.0,0.0,2.857142857142857,5.714285714285714,5.223214285714285,3.408972535823661,8.571428571428571,8.571428571428571,8.571428571428571,1.8641717093331474,1.8757444109235493,4.6370519910539905,8.10314723423549,6.689751318522862,2.888752413971933,9.061446871076312,9.352037974766322,9.970427921840123,1.8641717093331474,1.8757444109235493,4.6370519910539905,8.10314723423549,6.689751318522862,2.888752413971933,9.061446871076312,9.352037974766322,9.970427921840123,2.033333333333331,2.9383333333333277,3.062499999999994,3.1416666666666604,3.6380208333333255,1.0638654165663834,5.016666666666654,5.016666666666654,7.316666666666646,5.060818265308626,5.175515668850858,37.570729043602114,76.01316229254007,56.74597794441581,30.0795028167169,79.22222563251853,80.64036195129157,84.24294131994247,1864170.7093281308,1875743.4109185326,4637050.991051049,8103146.234232365,6689750.3185192235,2888752.413972576,9061445.871072957,9352036.974763144,9970426.92183474,1864170709328.1309,1875743410918.5325,4637050991051.049,8103146234232.365,6689750318519.225,2888752413972.576,9061445871072.957,9352036974763.145,9970426921834.74,122.0,176.3,183.75,188.5,218.28125,63.83192499398322,301.0,301.0,439.0
