generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,1804461.2315156925,0.0,1.8044662475585938,1.8044662475585938,5.016042901282746,0,1,4.490163590569864,229,1.4859873331914353,"[0.0, 1.8044662475585938, -5.016042901282746]",0,48,48,0,48,0,48,0,240.6369376698389,240.6369376698389,11175,11175,28.96233409999968,29.166997400000582,0.0,1.7364089829581124,1.7364089829581124,1.4181061553525052,5.01326953478831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.677671160016741,1.7004389081682476,1.7148140498570035,1.7340850830078125,1.7364089829581124,0.030225012054034724,1.7512498583112444,1.787381853376116,1.8044662475585938,1.677671160016741,1.7004389081682476,1.7148140498570035,1.7340850830078125,1.7364089829581124,0.030225012054034724,1.7512498583112444,1.787381853376116,1.8044662475585938,5.002070196348256,5.002589570853394,5.007503055171888,5.014276170905051,5.01326953478831,0.007578989770193134,5.016198211864287,5.024270392196943,5.027859824534212,3.3773120159457903,3.5376362606388283,3.630576342178756,3.832223833876924,3.855253697334168,0.26369450771274583,3.980205226398539,4.299357232644979,4.490163590569864,1.3591922456495826,1.3825156397496898,1.39667677363051,1.416263027760909,1.4181061553525052,0.03016778369450976,1.4332021050312447,1.468794760083516,1.4859873331914353,1677666.14397384,1700433.9008767703,1714809.0391949029,1734080.0773104422,1736403.9696885776,30225.011093210596,1751244.8489738228,1787376.8356293966,1804461.2315156925,223.0,228.0,230.5,233.5,232.8125,4.294649044644587,235.25,238.0,239.0
2,1861354.7292368275,0.0,1.8613597324916293,1.8613597324916293,5.003254801852646,0,1,5.027906986913877,235,1.5436927609454296,"[0.0, 1.8613597324916293, -5.003254801852646]",4,44,48,0,48,0,48,0,240.55853906613822,481.1954767359771,11128,22303,10.966973999999936,40.48791380000057,0.0,1.7638599304925826,1.7638599304925826,1.4456608047437227,5.011636230544546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6364342825753349,1.71447263445173,1.7388057708740234,1.768082209995815,1.7638599304925826,0.04490882087215198,1.7941216060093472,1.8186945234026228,1.8613597324916293,1.6364342825753349,1.71447263445173,1.7388057708740234,1.768082209995815,1.7638599304925826,0.04490882087215198,1.7941216060093472,1.8186945234026228,1.8613597324916293,5.002070196348256,5.002616712669702,5.005893029583679,5.0078216402248685,5.011636230544546,0.008888755038778664,5.015359731709672,5.028023869060111,5.028862103217157,3.1094873494876083,3.7030182720103766,3.870126898285889,4.1412795316537085,4.119792905528963,0.3929710582472877,4.370001903072989,4.623667283979012,5.027906986913877,1.3171946718413596,1.3956525239568924,1.4212140123757215,1.449510821652519,1.4456608047437227,0.044937758997927554,1.47544772568987,1.5007627050529682,1.5436927609454296,1636429.2545514659,1714467.6130349897,1738800.768803827,1768077.1924964483,1763854.9188563523,44908.82127222307,1794116.5868957322,1818689.515976484,1861354.7292368275,223.0,225.0,228.75,232.0,231.83333333333334,4.9003968093297186,234.25,240.0,243.0
3,1910864.0454878418,0.0,1.9108690534319197,1.9108690534319197,5.007944077958775,0,1,5.538977267598966,239,1.5929043500694577,"[0.0, 1.9108690534319197, -5.007944077958775]",4,44,48,0,48,0,48,0,240.73543573242023,721.9309124683973,11247,33550,15.65500879999945,56.564283100000466,0.0,1.7973058564322335,1.7973058564322335,1.4788727403840587,5.015321577758755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6603851318359377,1.7258061000279017,1.7514773777553012,1.8031529017857142,1.7973058564322335,0.057657464149270615,1.8374129704066684,1.8706207275390625,1.9108690534319197,1.6603851318359377,1.7258061000279017,1.7514773777553012,1.8031529017857142,1.7973058564322335,0.057657464149270615,1.8374129704066684,1.8706207275390625,1.9108690534319197,5.003254801852646,5.004525489105944,5.006897598742375,5.013605534584871,5.015321577758755,0.008878234493920126,5.021474329094966,5.028862103217157,5.029022493262783,3.22736923256889,3.7614536499502718,4.0094264590698,4.472046414623037,4.437892454231435,0.5439984154929997,4.802497598586342,5.131209160068102,5.538977267598966,1.342379659358484,1.4069938977523626,1.4333691366164527,1.4848149729059554,1.4788727403840587,0.057663697375490305,1.519521192598689,1.5519636235986716,1.5929043500694577,1660380.1232497462,1725801.078735716,1751472.3675505035,1803147.8879633346,1797300.841110656,57657.46420405021,1837407.9636111679,1870615.6995825043,1910864.0454878418,225.0,228.0,230.0,235.0,234.3125,5.272397659825493,239.0,242.0,243.0
4,2009708.291256155,0.0,2.0097133091517856,2.0097133091517856,5.017895630679516,0,1,6.804021578020183,230,1.6911167611721338,"[0.0, 2.0097133091517856, -5.017895630679516]",4,44,48,0,48,0,48,0,240.6552203014507,962.5861327698481,11165,44715,14.232341399999314,71.09379970000009,0.0,1.84054624466669,1.84054624466669,1.522219233685935,5.013650422946889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6706303187779017,1.7510087149483817,1.7893327985491072,1.819558824811663,1.84054624466669,0.07914343022017056,1.8926565987723214,1.9734889439174106,2.0097133091517856,1.6706303187779017,1.7510087149483817,1.7893327985491072,1.819558824811663,1.84054624466669,0.07914343022017056,1.8926565987723214,1.9734889439174106,2.0097133091517856,5.000782436721908,5.004031834708042,5.008619672819712,5.014867551565372,5.013650422946889,0.007055329065507859,5.018919379195376,5.021600937778727,5.029022493262783,3.277404711021518,4.061626456254453,4.372613276942502,4.665654855038156,4.886916496432453,0.8096499564967609,5.3407314526812115,6.236215684008494,6.804021578020183,1.351968770892481,1.432452085492691,1.4714237782708568,1.501224251731819,1.522219233685935,0.07928253053327747,1.57407003042366,1.6553861341057579,1.6911167611721338,1670625.2998585224,1751003.6976814677,1789327.7896818663,1819553.811042137,1840541.231016267,79143.43239295922,1892651.5810338696,1973483.933798156,2009708.291256155,225.0,229.0,230.0,233.0,232.60416666666666,3.327534017690712,235.0,236.0,243.0
5,2088596.247822474,0.0,2.0886012486049106,2.0886012486049106,5.000782436721908,0,1,7.447934797935886,233,1.7710912526225673,"[0.0, 2.0886012486049106, -5.000782436721908]",4,44,48,0,48,0,48,0,240.47316492534466,1203.0592976951928,11055,55770,12.00632940000014,83.5046667000006,0.0,1.8973937488737562,1.8973937488737562,1.5793075518825594,5.009857602611347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615999494280135,1.8024831499372211,1.8350069863455636,1.8731226239885603,1.8973937488737562,0.0836196507080709,1.9618456704275948,1.9948419843401228,2.0886012486049106,1.7615999494280135,1.8024831499372211,1.8350069863455636,1.8731226239885603,1.8973937488737562,0.0836196507080709,1.9618456704275948,1.9948419843401228,2.0886012486049106,5.000782436721908,5.001993130968772,5.003916296995256,5.0079271631770865,5.009857602611347,0.007803067171346467,5.012036016275326,5.0241216543855405,5.029246466440459,4.051550408010371,4.591692524613609,4.847068301152831,5.256678736994218,5.497770212213861,0.8722753380390036,6.1560291503155895,6.618439612688236,7.558911461674143,1.4440130839696788,1.4844037852165688,1.5169113618087184,1.5554828983548694,1.5793075518825594,0.08353917381158571,1.6437626999772965,1.675850133268025,1.7710912526225673,1761594.9474348826,1802478.1401872265,1835001.976339477,1873117.6211628816,1897388.7390161532,83619.64941805412,1961840.6486110033,1994836.9602184684,2088596.247822474,223.0,223.0,228.75,231.0,230.3125,4.699983377630181,233.0,235.0,242.0
6,2356949.2851476492,0.0,2.356954302106585,2.356954302106585,5.016958935630897,0,1,10.51144371049304,232,2.038417226828433,"[0.0, 2.356954302106585, -5.016958935630897]",4,44,48,0,48,0,48,0,240.70803561624635,1443.7673333114392,11167,66937,13.643364700000348,97.46626240000023,0.0,1.965345087505522,1.965345087505522,1.6469482149972599,5.014750742005132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7211532592773435,1.8231609889439173,1.870010920933315,1.946356637137277,1.965345087505522,0.1319893433423171,2.060376576014927,2.091076442173549,2.356954302106585,1.7211532592773435,1.8231609889439173,1.870010920933315,1.946356637137277,1.965345087505522,0.1319893433423171,2.060376576014927,2.091076442173549,2.356954302106585,5.000782436721908,5.003084693239922,5.007320316415191,5.011629357859334,5.014750742005132,0.009711026914215262,5.025076783334514,5.029246466440459,5.030632779082591,3.6957319059292786,4.657656438817503,5.2188847869783785,5.975068449886749,6.2150706761563015,1.4161969589961663,7.217514216337804,7.655969382440526,10.51144371049304,1.4030496906390089,1.504992730327454,1.5510517051080313,1.6276053824883308,1.6469482149972599,0.13187964418955167,1.7422155270052722,1.773258322402463,2.038417226828433,1721148.2491461374,1823155.9777938442,1870005.8973256655,1946351.6168050163,1965340.0727547805,131989.34159259178,2060371.5649784054,2091071.4365381626,2356949.2851476492,224.0,224.7,230.0,232.5,232.64583333333334,4.8925520919273024,236.0,238.3,242.0
7,2780976.8432307118,0.0,2.780979701450893,2.780979701450893,2.858220180804715,0,1,19.732615895569324,132,2.5995054042569428,"[0.0, 2.780979701450893, -2.858220180804715]",4,44,48,0,48,0,48,0,238.3856198932444,1682.1529532046836,10985,77922,13.095656899999994,110.9288176,0.0,2.057420980362665,2.057420980362665,1.742096086323982,4.966367081109259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844281877790178,1.856311253138951,1.9325951167515347,2.022252764020647,2.057420980362665,0.17636621426332985,2.161152703421456,2.267343248639788,2.780979701450893,1.7844281877790178,1.856311253138951,1.9325951167515347,2.022252764020647,2.057420980362665,0.17636621426332985,2.161152703421456,2.267343248639788,2.780979701450893,2.858220180804715,5.0015626493833585,5.004601385914546,5.0112749904687846,4.966367081109259,0.30759376915419623,5.017215721907565,5.019767228465328,5.029246466440459,4.38096943693381,5.000926424652425,5.891456598783407,6.758494428300764,7.344640294505401,2.414730323480692,8.296727047261811,9.5093307175237,19.732615895569324,1.466274497424844,1.5377508806130125,1.6149895844674398,1.7035948441780995,1.742096086323982,0.18860395222037704,1.8419863892369475,1.9485584560793254,2.5995054042569428,1784423.1768583946,1856306.2358130836,1932590.1139315874,2022247.7451584097,2057416.013995584,176366.39666440364,2161147.676552008,2267338.227779305,2780976.8432307118,132.0,224.0,224.75,232.0,228.85416666666666,15.145116901900172,236.0,238.0,239.0
8,4264324.911298494,2.857142857142857,4.26436288016183,4.26436288016183,37.968863336821016,0,1,35.43230924640375,1747,2.629799372094146,"[0.0, 4.26436288016183, -37.968863336821016]",4,44,48,0,47,1,47,1,331.6708460268033,2013.8237992314869,15335,93257,23.362220200000593,134.8027260000008,0.2380952380952381,2.299502690633138,2.299502690633138,1.8607846403331336,6.909809292225069,0.0,0.0,0.0,0.0,0.2380952380952381,0.7896725691322382,0.0,0.0,2.857142857142857,1.849261692592076,1.9393561226981029,2.0251096997942244,2.156603676932199,2.299502690633138,0.5026147603908246,2.324410847255162,2.8006384713309154,4.26436288016183,1.849261692592076,1.9393561226981029,2.0251096997942244,2.156603676932199,2.299502690633138,0.5026147603908246,2.324410847255162,2.8006384713309154,4.26436288016183,2.858220180804715,5.000587495422027,5.005405576874556,5.013989928229078,6.909809292225069,7.8477097271659195,5.019610076949654,5.024960602974349,45.00517205635809,5.3416514862765325,5.861406770231406,6.8251792129176465,8.257585082126752,10.378795278162974,6.616986881433675,10.160463192876705,17.9393026456106,35.43230924640375,1.3503523754442148,1.613071639394883,1.6936710641939268,1.7954197637990648,1.8607846403331336,0.2717352500561125,1.9559452223756018,2.182640766994636,2.629799372094146,1849256.6730723071,1939351.1036905763,2025104.678892518,2156598.666642025,2299495.780823846,502608.06933222566,2324405.8365025516,2800633.4586359905,4264324.911298494,132.0,224.0,228.0,233.0,319.4791666666667,362.04356261731664,237.0,239.9,2076.0
9,4835841.2699136725,2.857142857142857,4.83588627406529,4.83588627406529,45.00415161722626,0,0,40.803548605239484,2065,2.9719176635599727,"[0.0, 4.83588627406529, -45.00415161722626]",4,44,48,0,45,3,45,3,433.8899798537667,2447.7137790852535,20089,113346,29.63664710000012,164.9891075000005,0.4166666666666667,2.4699264480954124,2.4699264480954124,1.8959979033152976,9.039374580286806,0.0,0.0,0.0,0.0,0.4166666666666667,1.0083972825057985,0.0,2.857142857142857,2.857142857142857,1.8221936907087053,1.9479190281459264,2.0866516658238004,2.239911215645926,2.4699264480954124,0.6502208603845225,2.5332845960344583,3.2200633457728802,4.83588627406529,1.8221936907087053,1.9479190281459264,2.0866516658238004,2.239911215645926,2.4699264480954124,0.6502208603845225,2.5332845960344583,3.2200633457728802,4.83588627406529,3.0865343172409725,5.002039127699226,5.0056356179645025,5.009564904921589,9.039374580286806,10.994324212970401,5.019074687785384,20.510441741836825,45.00962913305873,4.667378058584291,6.173286707367515,7.866746858930128,9.925391100852721,12.740485752224837,8.37147822463088,12.548687141150367,25.96701220020115,40.803548605239484,1.1473400250494707,1.6073328084340714,1.7173943824327969,1.8634767276819795,1.8959979033152976,0.30057805418821265,1.9978047090089277,2.215080829866012,2.9719176635599727,1822188.6764484167,1947914.0229419617,2086646.658733663,2239906.2011756655,2469917.4087208323,650210.9325875795,2533279.588283203,3220053.400681216,4835841.2699136725,138.0,224.4,229.75,233.5,418.5208333333333,505.55077183138155,239.5,962.7000000000015,2076.0
10,8998647.061650973,8.571428571428571,8.998652866908483,8.998652866908483,5.805257510252617,0,1,78.58196422457695,268,8.630065088479745,"[0.0, 8.998652866908483, -5.805257510252617]",4,44,48,0,43,5,43,5,512.2601751112641,2959.9739541965173,23554,136900,26.097909800000707,191.45485180000014,0.8928571428571428,2.927129609244211,2.927129609244211,2.2495367850229617,10.672086981484668,0.0,0.0,0.0,0.0,0.8928571428571428,1.6656034023372883,2.857142857142857,2.857142857142857,8.571428571428571,1.7729187011718752,2.0455218723842075,2.2800772530691966,2.4690491812569757,2.927129609244211,1.2066788996283564,3.706327165876116,4.108717782156808,8.998652866908483,1.7729187011718752,2.0455218723842075,2.2800772530691966,2.4690491812569757,2.927129609244211,1.2066788996283564,3.706327165876116,4.108717782156808,8.998652866908483,3.5422150301991553,5.000501239803206,5.004030713469976,5.013591375459298,10.672086981484668,13.25251024710172,5.026450740135349,40.07944982094262,45.02509702595946,4.5049792035715654,7.598469413135172,9.834373137178773,12.461034004230896,17.819533187645295,13.446060586245686,28.592609816230834,32.32921139535902,78.58196422457695,1.1473400250494707,1.5396039590091846,1.8008314747588416,2.019160355370088,2.2495367850229617,1.08905947939992,2.3428708622986387,3.1488899323735873,8.630065088479745,1772913.6759123523,2045516.8641650064,2280072.231707311,2469044.1666288497,2927118.9371572286,1206672.5169099208,3706322.5874277623,4108697.108687711,8998647.061650973,162.0,225.0,228.0,231.5,490.7083333333333,609.9135511943931,235.25,1841.8000000000013,2081.0
